統編,分類,子分類,項目,來自公司報告,單位,年份,數值
07067309,G,營運狀況,營業費用,,仟元,2018,993409
07067309,G,營運狀況,淨利,,仟元,2018,704325
73008303,G,營運狀況,營業收入,,仟元,2018,72442933
73008303,G,營運狀況,營業成本,,仟元,2018,62354838
73008303,G,營運狀況,營業費用,,仟元,2018,7815474
73008303,G,營運狀況,淨利,,仟元,2018,2413606
35012903,G,營運狀況,營業收入,,仟元,2018,594238
35012903,G,營運狀況,營業成本,,仟元,2018,540347
35012903,G,營運狀況,營業費用,,仟元,2018,65665
35012903,G,營運狀況,淨利,,仟元,2018,-89579
36514783,G,營運狀況,營業收入,,仟元,2018,21235086
36514783,G,營運狀況,營業成本,,仟元,2018,18377736
36514783,G,營運狀況,營業費用,,仟元,2018,1579305
36514783,G,營運狀況,淨利,,仟元,2018,995060
73251209,G,營運狀況,營業收入,,仟元,2018,431445520
73251209,G,營運狀況,營業成本,,仟元,2018,286160653
73251209,G,營運狀況,營業費用,,仟元,2018,118298458
73251209,G,營運狀況,淨利,,仟元,2018,26945173
65534366,G,營運狀況,營業收入,,仟元,2018,4321819
65534366,G,營運狀況,營業成本,,仟元,2018,2941256
65534366,G,營運狀況,營業費用,,仟元,2018,1313529
65534366,G,營運狀況,淨利,,仟元,2018,62687
59661701,G,營運狀況,營業收入,,仟元,2018,7901670
59661701,G,營運狀況,營業成本,,仟元,2018,6468636
59661701,G,營運狀況,營業費用,,仟元,2018,1341737
59661701,G,營運狀況,淨利,,仟元,2018,464682
56192402,G,營運狀況,營業收入,,仟元,2018,11709984
56192402,G,營運狀況,營業成本,,仟元,2018,10902412
56192402,G,營運狀況,營業費用,,仟元,2018,872769
56192402,G,營運狀況,淨利,,仟元,2018,-95623
03543210,G,營運狀況,營業收入,,仟元,2018,2747263
03543210,G,營運狀況,營業成本,,仟元,2018,2409947
03543210,G,營運狀況,營業費用,,仟元,2018,226980
03543210,G,營運狀況,淨利,,仟元,2018,112715
22102298,G,營運狀況,營業收入,,仟元,2018,11243509
22102298,G,營運狀況,營業成本,,仟元,2018,10332888
22102298,G,營運狀況,營業費用,,仟元,2018,608864
22102298,G,營運狀況,淨利,,仟元,2018,300502
22102473,G,營運狀況,營業收入,,仟元,2018,27340587
22102473,G,營運狀況,營業成本,,仟元,2018,19086242
22102473,G,營運狀況,營業費用,,仟元,2018,5104509
22102473,G,營運狀況,淨利,,仟元,2018,2968307
11996904,G,營運狀況,營業收入,,仟元,2018,5097818
11996904,G,營運狀況,營業成本,,仟元,2018,4265761
11996904,G,營運狀況,營業費用,,仟元,2018,531884
11996904,G,營運狀況,淨利,,仟元,2018,2473440
07569627,G,營運狀況,營業收入,,仟元,2018,8116880
07569627,G,營運狀況,營業成本,,仟元,2018,6338806
07569627,G,營運狀況,營業費用,,仟元,2018,1157723
07569627,G,營運狀況,淨利,,仟元,2018,541701
20927014,G,營運狀況,營業收入,,仟元,2018,16948746
20927014,G,營運狀況,營業成本,,仟元,2018,15091718
20927014,G,營運狀況,營業費用,,仟元,2018,745148
20927014,G,營運狀況,淨利,,仟元,2018,926310
18559415,G,營運狀況,營業收入,,仟元,2018,2193118
18559415,G,營運狀況,營業成本,,仟元,2018,936979
18559415,G,營運狀況,營業費用,,仟元,2018,1091727
18559415,G,營運狀況,淨利,,仟元,2018,174699
20651901,G,營運狀況,營業收入,,仟元,2018,8901634
20651901,G,營運狀況,營業成本,,仟元,2018,6783973
20651901,G,營運狀況,營業費用,,仟元,2018,1893990
20651901,G,營運狀況,淨利,,仟元,2018,696309
85617982,G,營運狀況,營業收入,,仟元,2018,57652
85617982,G,營運狀況,營業成本,,仟元,2018,30891
85617982,G,營運狀況,營業費用,,仟元,2018,21100
85617982,G,營運狀況,淨利,,仟元,2018,105973
34106066,G,營運狀況,營業收入,,仟元,2018,1972592
