"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"E1601020","萬璁實業有限公司",96875590,"高雄市岡山區本洲里本工三路２２號",22.8107572,120.2727636
"E1605957","旺富工業有限公司",42816414,"高雄市岡山區嘉興路６１號",22.8170284,120.3016922
"E1606436","長日泰企業社",25731329,"高雄市岡山區為隨東路６８之６號",22.8205457,120.2899087
"E1607826","展昕塑膠有限公司",83531807,"高雄市岡山區高雄市岡山區正氣路１９９巷６、８、１０號",22.8048804,120.2802631
"E1901776","台灣氯乙烯工業股份有限公司",19084015,"高雄市林園區溪州里工業一路１號",22.5104323,120.404652
"E1901829","台灣石化合成股份有限公司",30974253,"高雄市林園區工業二路１號",22.4985559,120.4144628
"E1901990","合興石化工業股份有限公司",23531178,"高雄市林園區溪州里石化二路２號",22.4985886,120.4077156
"E1902497","林園先進材料科技股份有限公司",42818882,"高雄市林園區北汕里林園工業區石化四路１號",22.4876712,120.4083763
"E1902988","信昌化學工業股份有限公司林園廠-採土壤離場處理",86120031,"高雄市林園區五福里工業三路９號",22.4922113,120.4156221
"E1903118","坤發興業有限公司",53633503,"高雄市林園區中門路３３９巷４２號",22.5078337,120.3658988
"E2000018","樂利得實業股份有限公司",24519882,"高雄市大寮區潮寮里田單三街１１、１３號",22.5749982,120.4306835
"E2000107","淨寶化工股份有限公司二廠",23664373,"高雄市大寮區大業街６之１號",22.5804484,120.430595
"E2000376","昭侒化工有限公司",28584384,"高雄市大寮區華西路３８之１號",22.5878692,120.4231181
"E2000750","巨呈工業股份有限公司",22839375,"高雄市大寮區潮寮里建民街１７號",22.5769612,120.4307464
"E2000769","巨呈工業股份有限公司高雄大發廠",22839375,"高雄市大寮區潮寮里建民街１７號",22.5769612,120.4307464
"E2002067","青上化工廠股份有限公司大發廠",20809467,"高雄市大寮區華東路２２號",22.5756762,120.4332751
"E2004374","大連化學工業股份有限公司",12233428,"高雄市大寮區華西路８之１號",22.574971,120.4228903
"E2004918","淨寶化工股份有限公司建業一廠",23664373,"高雄市大寮區潮寮里建業路９號",22.5710211,120.4295824
"E2004927","淨寶化工股份有限公司建業二廠",23664373,"高雄市大寮區潮寮里建業路９之１號",22.5710211,120.4295824
"E20A3762","大軒化工股份有限公司",22220464,"高雄市大寮區大寮里大有一街８號",22.5887172,120.431028
"E20A4087","京磊實業有限公司",28596874,"高雄市大寮區裕民街４３號",22.5898784,120.4353579
"E2202790","臺灣塑膠工業股份有限公司",75708007,"高雄市仁武區竹後里水管路１００號",22.7059261,120.3350318
"E2202834","南亞塑膠工業股份有限公司",75370905,"高雄市仁武區竹後里水管路１０１號",22.7066992,120.3328627
"E2202852","寶力威精細材料股份有限公司",54202496,"高雄市仁武區鳳仁路３８３號",22.7164969,120.3330667
"E2204267","長春人造樹脂廠股份有限公司高雄二廠",11384708,"高雄市仁武區工業二路２７號",22.6989523,120.3413494
